project_id,month,snapshot_date,physical_progress_pct,financial_progress_pct,cumulative_expenditure,revised_cost,cost_overrun_to_date_pct,revised_end_date,schedule_slip_months
PRJ-0046,May,2026-05-15,100.0,100.0,859011.31,888094.91,3.39,2031-07-03,2.69
PRJ-0046,June,2026-06-15,100.0,93.84,806070.98,1404377.84,63.49,2033-03-03,22.82
PRJ-0046,July,2026-07-15,100.0,95.88,823578.74,662094.38,-22.92,2031-04-03,0.0
PRJ-0047,Feb,2026-02-15,62.42,66.34,747635.32,1334727.59,18.44,2032-02-09,12.9
PRJ-0047,March,2026-03-15,100.0,100.0,1126924.18,1323307.05,17.43,2031-07-09,5.88
PRJ-0047,April,2026-04-15,100.0,100.0,1126924.18,1339143.69,18.83,2031-10-09,8.98
PRJ-0047,May,2026-05-15,100.0,99.33,1119356.93,1321918.53,17.3,2031-09-09,8.25
PRJ-0047,June,2026-06-15,100.0,100.0,1126924.18,1452528.16,28.89,2031-10-09,8.78
PRJ-0047,July,2026-07-15,100.0,97.73,1101332.99,1209073.67,7.29,2031-02-09,1.31
PRJ-0048,Feb,2026-02-15,5.14,1.85,7265.37,587510.62,49.62,2034-05-25,31.9
PRJ-0048,March,2026-03-15,10.28,10.78,42330.67,577003.84,46.95,2033-12-25,26.52
PRJ-0048,April,2026-04-15,15.41,9.54,37456.18,562035.8,43.13,2033-12-25,26.51
PRJ-0048,May,2026-05-15,20.55,32.79,128753.02,559098.04,42.39,2033-07-25,22.2
PRJ-0048,June,2026-06-15,25.69,27.73,108885.17,688137.67,75.25,2034-11-25,38.31
PRJ-0048,July,2026-07-15,30.83,33.12,130035.13,454871.3,15.84,2032-07-25,10.16
PRJ-0049,Feb,2026-02-15,1.37,0.0,0.0,783.77,65.12,2038-08-10,32.97
PRJ-0049,March,2026-03-15,2.73,3.95,18.76,778.48,64.01,2038-11-10,35.86
PRJ-0049,April,2026-04-15,4.1,8.66,41.1,762.98,60.74,2038-08-10,32.76
PRJ-0049,May,2026-05-15,5.46,7.51,35.63,741.04,56.12,2038-06-10,31.27
PRJ-0049,June,2026-06-15,6.83,5.5,26.09,999.03,110.47,2039-11-10,48.21
PRJ-0049,July,2026-07-15,8.19,7.81,37.09,589.99,24.3,2037-05-10,18.2
PRJ-0050,Feb,2026-02-15,9.82,7.58,93409.71,1220161.56,-0.99,2036-01-09,7.66
PRJ-0050,March,2026-03-15,19.64,17.49,215598.32,1201625.56,-2.5,2036-01-09,7.95
PRJ-0050,April,2026-04-15,29.46,34.03,419437.18,1158850.01,-5.97,2035-11-09,6.42
PRJ-0050,May,2026-05-15,39.29,41.46,510960.67,1111831.46,-9.78,2035-08-09,2.89
PRJ-0050,June,2026-06-15,49.11,49.1,605132.1,1453285.83,17.92,2036-01-09,7.91
PRJ-0050,July,2026-07-15,58.93,66.71,822085.18,961297.5,-22.0,2035-05-09,0.38
PRJ-0051,Feb,2026-02-15,1.28,0.03,8.86,24132.81,-11.02,2032-11-01,6.5
PRJ-0051,March,2026-03-15,2.56,7.27,1972.16,25082.55,-7.52,2033-04-01,11.17
PRJ-0051,April,2026-04-15,3.84,0.0,0.0,24419.76,-9.97,2032-10-01,4.52
PRJ-0051,May,2026-05-15,2.48,0.87,236.33,25316.19,-6.66,2033-01-01,7.87
PRJ-0051,June,2026-06-15,4.39,9.45,2563.73,32205.99,18.74,2033-11-01,18.08
PRJ-0051,July,2026-07-15,4.5,3.98,1078.32,21754.16,-19.79,2032-10-01,4.99
PRJ-0052,Feb,2026-02-15,10.39,9.21,105501.67,1248484.54,8.98,2031-04-10,8.86
PRJ-0052,March,2026-03-15,20.77,16.7,191345.04,1176901.39,2.73,2031-07-10,11.52
PRJ-0052,April,2026-04-15,31.16,31.9,365450.15,1193706.44,4.2,2031-09-10,13.63
PRJ-0052,May,2026-05-15,41.55,41.44,474744.74,1150200.76,0.4,2031-03-10,7.76
PRJ-0052,June,2026-06-15,51.94,52.05,596300.46,1701087.65,48.48,2032-03-10,19.54
PRJ-0052,July,2026-07-15,62.32,59.6,682767.41,903002.9,-21.18,2030-08-10,1.17
PRJ-0053,Feb,2026-02-15,13.04,14.31,167420.97,1496314.59,27.88,2036-09-17,18.63
PRJ-0053,March,2026-03-15,26.07,23.63,276521.45,1480425.96,26.53,2037-01-17,22.75
PRJ-0053,April,2026-04-15,39.11,45.29,529934.29,1464217.1,25.14,2036-06-17,15.71
PRJ-0053,May,2026-05-15,52.15,46.86,548308.05,1456424.04,24.47,2036-03-17,13.41
PRJ-0053,June,2026-06-15,65.18,71.53,836918.15,1610180.97,37.61,2036-08-17,17.79
PRJ-0053,July,2026-07-15,78.22,80.78,945214.68,1337497.88,14.31,2036-01-17,10.88
PRJ-0054,Feb,2026-02-15,6.15,9.43,177498.82,2622321.29,39.35,2036-06-17,24.36
PRJ-0054,March,2026-03-15,12.31,15.06,283395.7,2572716.23,36.71,2036-09-17,27.3
PRJ-0054,April,2026-04-15,18.46,17.4,327469.34,2466299.66,31.06,2036-02-17,19.73
PRJ-0054,May,2026-05-15,24.62,28.86,543075.43,2431492.56,29.21,2036-01-17,18.73
PRJ-0054,June,2026-06-15,30.77,40.21,756706.11,2756356.46,46.47,2036-06-17,23.86
PRJ-0054,July,2026-07-15,36.93,37.4,703821.18,2251501.5,19.64,2035-10-17,16.42
PRJ-0055,Feb,2026-02-15,5.94,11.94,71793.65,709202.0,17.95,2035-01-09,18.37
PRJ-0055,March,2026-03-15,11.87,11.19,67274.99,696514.77,15.84,2034-11-09,16.15
PRJ-0055,April,2026-04-15,17.81,12.37,74392.22,693566.11,15.35,2034-09-09,13.55
PRJ-0055,May,2026-05-15,23.74,23.34,140346.01,672979.28,11.92,2034-09-09,14.47
PRJ-0055,June,2026-06-15,29.68,31.1,187023.42,854929.01,42.18,2035-08-09,25.39
PRJ-0055,July,2026-07-15,35.61,36.17,217466.6,531087.74,-11.67,2033-10-09,3.45
PRJ-0056,Feb,2026-02-15,7.52,8.32,93528.0,1210004.34,7.69,2029-12-27,13.04
PRJ-0056,March,2026-03-15,15.04,17.13,192500.81,1204430.1,7.19,2030-01-27,14.49
PRJ-0056,April,2026-04-15,22.56,26.54,298261.31,1205566.25,7.29,2029-09-27,9.98
PRJ-0056,May,2026-05-15,30.08,29.78,334597.44,1145269.12,1.93,2029-07-27,8.16
PRJ-0056,June,2026-06-15,37.6,35.83,402651.83,1356676.68,20.74,2030-01-27,13.8
PRJ-0056,July,2026-07-15,45.12,43.86,492811.28,1028663.18,-8.45,2029-05-27,5.98
PRJ-0057,Feb,2026-02-15,1.62,4.7,5893.73,159438.04,27.27,2033-07-09,23.89
PRJ-0057,March,2026-03-15,1.38,1.35,1689.26,158670.89,26.66,2033-01-09,17.71
PRJ-0057,April,2026-04-15,4.87,9.06,11347.05,155522.41,24.15,2033-02-09,18.93
PRJ-0057,May,2026-05-15,0.51,1.43,1787.84,153071.81,22.19,2033-02-09,18.66
PRJ-0057,June,2026-06-15,6.62,9.57,11992.88,186190.9,48.63,2033-09-09,25.9
PRJ-0057,July,2026-07-15,5.12,5.73,7181.01,133828.46,6.83,2032-11-09,15.72
PRJ-0058,Feb,2026-02-15,0.98,4.1,11639.72,289503.59,2.07,2029-08-08,14.71
PRJ-0058,March,2026-03-15,1.96,2.14,6060.13,290565.92,2.44,2029-07-08,14.14
PRJ-0058,April,2026-04-15,2.94,0.0,0.0,290064.52,2.26,2029-04-08,10.81
PRJ-0058,May,2026-05-15,3.92,8.78,24897.33,289271.83,1.99,2029-08-08,15.46
PRJ-0058,June,2026-06-15,4.89,6.04,17143.14,361353.38,27.4,2030-03-08,22.5
PRJ-0058,July,2026-07-15,5.42,4.81,13646.44,252790.97,-10.88,2028-11-08,5.89
PRJ-0059,Feb,2026-02-15,15.21,17.43,18252.8,121716.97,16.25,2033-08-18,15.78
PRJ-0059,March,2026-03-15,30.41,27.51,28802.09,121505.12,16.05,2033-07-18,14.71
PRJ-0059,April,2026-04-15,45.62,42.94,44960.2,121129.85,15.69,2033-04-18,12.12
PRJ-0059,May,2026-05-15,60.83,58.72,61481.46,117782.33,12.49,2032-11-18,6.82
PRJ-0059,June,2026-06-15,76.03,80.3,84071.35,119450.72,14.09,2033-01-18,8.88
PRJ-0059,July,2026-07-15,91.24,90.48,94737.2,116207.77,10.99,2033-03-18,10.96
PRJ-0060,Feb,2026-02-15,13.52,20.63,2919.24,18875.65,33.39,2033-02-28,22.54
PRJ-0060,March,2026-03-15,27.05,23.41,3312.63,18577.39,31.28,2032-12-28,20.54
PRJ-0060,April,2026-04-15,40.57,38.14,5396.45,18062.69,27.65,2032-06-28,15.25
PRJ-0060,May,2026-05-15,54.09,53.04,7505.17,18345.9,29.65,2032-04-28,12.97
PRJ-0060,June,2026-06-15,67.61,67.41,9538.69,20922.92,47.86,2033-01-28,21.73
PRJ-0060,July,2026-07-15,81.14,83.84,11864.43,14994.43,5.96,2031-06-28,3.06
PRJ-0061,Feb,2026-02-15,10.7,13.45,1010.85,10463.66,39.22,2032-09-09,26.4
PRJ-0061,March,2026-03-15,21.39,24.5,1841.19,9973.07,32.69,2031-12-09,17.35
PRJ-0061,April,2026-04-15,32.09,32.79,2464.73,9690.9,28.94,2032-03-09,19.53
PRJ-0061,May,2026-05-15,42.78,38.83,2918.57,9261.39,23.22,2031-07-09,12.0
PRJ-0061,June,2026-06-15,53.48,55.73,4188.97,13939.79,85.47,2033-08-09,36.88
PRJ-0061,July,2026-07-15,64.17,60.25,4528.01,5347.84,-28.85,2030-07-09,0.0
PRJ-0062,Feb,2026-02-15,4.76,4.3,36183.66,774670.86,-7.99,2029-11-08,10.75
PRJ-0062,March,2026-03-15,9.52,8.7,73214.68,775291.09,-7.92,2029-10-08,10.14
PRJ-0062,April,2026-04-15,14.28,11.99,100931.2,786208.46,-6.62,2029-10-08,10.3
PRJ-0062,May,2026-05-15,19.04,23.46,197530.73,783026.9,-7.0,2029-08-08,8.12
PRJ-0062,June,2026-06-15,23.8,25.72,216572.65,778123.29,-7.58,2029-07-08,7.13
PRJ-0062,July,2026-07-15,28.57,26.37,222034.85,766351.51,-8.98,2029-06-08,5.51
PRJ-0063,Feb,2026-02-15,1.14,0.0,0.0,875616.74,12.34,2033-06-14,16.69
PRJ-0063,March,2026-03-15,2.28,0.0,0.0,880210.5,12.93,2033-05-14,16.13
PRJ-0063,April,2026-04-15,3.42,0.0,0.0,882937.27,13.28,2033-04-14,15.34
PRJ-0063,May,2026-05-15,3.9,0.0,0.0,883939.85,13.41,2033-07-14,17.97
PRJ-0063,June,2026-06-15,5.7,7.88,61441.06,963432.31,23.61,2033-11-14,21.77
PRJ-0063,July,2026-07-15,6.05,9.69,75502.6,782224.66,0.36,2032-10-14,9.1
PRJ-0064,Feb,2026-02-15,8.0,4.62,12467.96,296159.25,9.83,2035-11-26,11.78
PRJ-0064,March,2026-03-15,16.0,16.74,45143.94,293979.56,9.02,2036-03-26,15.54
PRJ-0064,April,2026-04-15,24.0,18.38,49552.35,284991.17,5.68,2035-12-26,13.04
PRJ-0064,May,2026-05-15,32.0,33.36,89967.9,280615.17,4.06,2035-07-26,8.29
PRJ-0064,June,2026-06-15,39.99,36.49,98393.53,354398.18,31.42,2036-05-26,17.52
PRJ-0064,July,2026-07-15,47.99,43.62,117637.49,233029.96,-13.58,2035-01-26,2.15
PRJ-0065,Feb,2026-02-15,2.25,0.0,0.0,26180.37,5.0,2033-04-07,15.64
PRJ-0065,March,2026-03-15,4.51,3.8,947.36,26391.64,5.84,2033-01-07,12.75
PRJ-0065,April,2026-04-15,6.76,2.24,557.54,25778.39,3.39,2033-02-07,14.3
PRJ-0065,May,2026-05-15,9.02,5.95,1484.44,25604.25,2.69,2032-11-07,11.06
PRJ-0065,June,2026-06-15,11.27,14.35,3577.5,31061.66,24.57,2033-06-07,18.13
PRJ-0065,July,2026-07-15,13.53,10.57,2634.54,24545.54,-1.56,2032-12-07,11.85
PRJ-0066,Feb,2026-02-15,8.77,6.79,82167.7,1347635.19,11.43,2036-12-06,16.06
PRJ-0066,March,2026-03-15,17.55,20.03,242214.05,1303224.49,7.76,2036-09-06,13.49
PRJ-0066,April,2026-04-15,26.32,24.55,296952.4,1291827.34,6.82,2036-08-06,11.53
PRJ-0066,May,2026-05-15,35.09,43.34,524147.23,1275160.73,5.44,2036-08-06,11.57
PRJ-0066,June,2026-06-15,43.87,56.22,679916.79,1509617.13,24.82,2036-12-06,16.46
PRJ-0066,July,2026-07-15,52.64,55.45,670666.47,1134121.22,-6.22,2035-09-06,1.49
PRJ-0067,Feb,2026-02-15,11.76,15.21,167604.49,1559689.34,41.58,2031-05-03,24.82
PRJ-0067,March,2026-03-15,23.52,28.06,309165.01,1472864.81,33.7,2031-03-03,22.52
PRJ-0067,April,2026-04-15,35.28,34.03,374908.28,1403233.24,27.38,2030-10-03,17.68
PRJ-0067,May,2026-05-15,47.05,50.69,558381.02,1388485.66,26.04,2030-08-03,16.04
PRJ-0067,June,2026-06-15,58.81,59.06,650672.25,2051362.92,86.21,2032-02-03,33.77
PRJ-0067,July,2026-07-15,70.57,70.64,778252.08,889756.05,-19.23,2029-04-03,0.0
PRJ-0068,Feb,2026-02-15,2.78,0.0,0.0,528057.47,36.15,2029-11-20,21.06
PRJ-0068,March,2026-03-15,5.57,8.62,33441.31,511828.37,31.96,2030-04-20,25.89
PRJ-0068,April,2026-04-15,8.35,2.48,9600.44,499353.49,28.75,2029-11-20,20.59
PRJ-0068,May,2026-05-15,11.13,11.84,45928.22,477954.81,23.23,2029-10-20,19.87
PRJ-0068,June,2026-06-15,13.91,14.17,54973.79,650522.55,67.72,2031-01-20,34.87
PRJ-0068,July,2026-07-15,16.7,13.47,52259.21,344632.4,-11.15,2028-07-20,5.41
PRJ-0069,Feb,2026-02-15,16.59,7.55,15606.87,309820.27,49.87,2035-06-20,27.9
PRJ-0069,March,2026-03-15,33.17,35.12,72592.79,294926.46,42.67,2034-10-20,20.39
PRJ-0069,April,2026-04-15,49.76,48.63,100523.46,285353.55,38.04,2034-10-20,19.95
PRJ-0069,May,2026-05-15,66.35,65.33,135043.3,265624.75,28.49,2034-01-20,10.94
PRJ-0069,June,2026-06-15,82.93,80.6,166613.4,333801.87,61.47,2035-02-20,23.55
PRJ-0069,July,2026-07-15,99.52,100.0,206725.05,191513.77,-7.36,2033-02-20,0.0
PRJ-0070,Feb,2026-02-15,4.22,0.0,0.0,201381.15,38.17,2036-09-13,21.4
PRJ-0070,March,2026-03-15,0.05,0.0,0.0,194651.62,33.55,2037-01-13,24.9
PRJ-0070,April,2026-04-15,2.31,0.0,0.0,188856.2,29.57,2036-10-13,21.55
PRJ-0070,May,2026-05-15,6.01,4.03,5878.53,175914.25,20.69,2036-07-13,19.32
PRJ-0070,June,2026-06-15,6.34,3.49,5089.64,265233.22,81.98,2038-06-13,42.03
PRJ-0070,July,2026-07-15,4.96,0.0,0.0,113060.2,-22.43,2035-05-13,4.97
PRJ-0071,Feb,2026-02-15,13.45,5.36,51008.04,1170487.8,23.04,2030-12-07,18.71
PRJ-0071,March,2026-03-15,26.9,22.48,213858.27,1182327.16,24.28,2030-10-07,17.4
PRJ-0071,April,2026-04-15,40.35,44.13,419847.72,1171377.06,23.13,2030-09-07,15.53
PRJ-0071,May,2026-05-15,53.81,53.84,512183.08,1185362.67,24.6,2030-07-07,13.92
PRJ-0071,June,2026-06-15,67.26,63.34,602615.26,1509154.71,58.63,2031-11-07,30.08
PRJ-0071,July,2026-07-15,80.71,82.23,782310.3,922038.55,-3.08,2029-07-07,2.29
PRJ-0072,Feb,2026-02-15,42.03,42.45,209176.85,515242.84,4.57,2036-01-03,6.0
PRJ-0072,March,2026-03-15,84.05,81.45,401292.56,517599.3,5.05,2035-11-03,3.88
PRJ-0072,April,2026-04-15,100.0,100.0,492706.43,508303.66,3.17,2035-12-03,5.07
PRJ-0072,May,2026-05-15,100.0,100.0,492706.43,499764.05,1.43,2035-07-03,0.0
PRJ-0072,June,2026-06-15,100.0,98.68,486223.99,685327.34,39.09,2036-08-03,12.84
PRJ-0072,July,2026-07-15,100.0,97.85,482097.49,418218.67,-15.12,2035-07-03,0.0
PRJ-0073,Feb,2026-02-15,38.06,39.0,524175.09,1659786.18,23.5,2032-03-04,13.77
PRJ-0073,March,2026-03-15,76.11,79.2,1064454.13,1642271.23,22.2,2031-12-04,10.84
PRJ-0073,April,2026-04-15,100.0,94.74,1273260.87,1582402.77,17.74,2031-04-04,3.45
PRJ-0073,May,2026-05-15,100.0,100.0,1343954.44,1588148.27,18.17,2031-10-04,9.08
PRJ-0073,June,2026-06-15,100.0,100.0,1343954.44,1700957.14,26.56,2031-12-04,11.17
PRJ-0073,July,2026-07-15,100.0,98.79,1327654.87,1354515.39,0.79,2031-03-04,2.47
PRJ-0074,Feb,2026-02-15,17.93,18.01,56051.62,347710.86,11.71,2034-01-24,12.95
PRJ-0074,March,2026-03-15,35.87,39.77,123781.7,343495.85,10.35,2034-02-24,13.94
PRJ-0074,April,2026-04-15,53.8,58.13,180931.85,334202.91,7.37,2033-10-24,9.59
PRJ-0074,May,2026-05-15,71.73,72.09,224404.84,322706.79,3.67,2033-04-24,4.2
PRJ-0074,June,2026-06-15,89.67,85.85,267218.51,465844.01,49.66,2034-06-24,18.06
PRJ-0074,July,2026-07-15,100.0,100.0,311271.9,225073.86,-27.69,2032-12-24,0.0
PRJ-0075,Feb,2026-02-15,18.06,20.6,203958.78,1261029.05,27.39,2030-02-20,17.04
PRJ-0075,March,2026-03-15,36.12,42.72,422821.98,1220572.5,23.31,2029-12-20,15.46
PRJ-0075,April,2026-04-15,54.18,56.37,557962.31,1200514.53,21.28,2029-08-20,10.87
PRJ-0075,May,2026-05-15,72.25,66.67,659942.92,1175679.02,18.77,2029-06-20,8.65
PRJ-0075,June,2026-06-15,90.31,91.73,908039.71,1745786.18,76.37,2030-12-20,27.28
PRJ-0075,July,2026-07-15,100.0,99.76,987485.79,884592.51,-10.64,2028-09-20,0.0
PRJ-0076,Feb,2026-02-15,0.14,0.0,0.0,33494.72,33.56,2031-08-24,26.35
PRJ-0076,March,2026-03-15,0.27,2.16,540.43,32481.96,29.53,2031-02-24,19.63
PRJ-0076,April,2026-04-15,0.41,0.0,0.0,32107.71,28.03,2031-05-24,23.49
PRJ-0076,May,2026-05-15,0.54,1.25,313.03,30619.04,22.1,2031-02-24,20.37
PRJ-0076,June,2026-06-15,0.68,2.29,575.09,36681.6,46.27,2031-10-24,27.58
PRJ-0076,July,2026-07-15,0.81,7.23,1813.62,25916.7,3.35,2030-09-24,15.17
PRJ-0077,Feb,2026-02-15,24.67,28.38,270053.29,1165589.48,22.48,2031-12-22,16.4
PRJ-0077,March,2026-03-15,49.34,50.98,485140.27,1158725.14,21.76,2031-11-22,14.86
PRJ-0077,April,2026-04-15,74.01,76.88,731635.0,1122421.23,17.94,2031-06-22,9.63
PRJ-0077,May,2026-05-15,98.68,98.0,932618.58,1088832.21,14.41,2031-04-22,7.97
PRJ-0077,June,2026-06-15,100.0,100.0,951658.59,1438637.82,51.17,2031-12-22,15.53
PRJ-0077,July,2026-07-15,100.0,100.0,951658.59,883183.78,-7.2,2030-08-22,0.0
PRJ-0078,Feb,2026-02-15,9.04,10.39,101588.75,1308616.59,33.9,2031-02-04,23.15
PRJ-0078,March,2026-03-15,18.07,12.72,124336.03,1320856.75,35.15,2031-02-04,23.43
PRJ-0078,April,2026-04-15,27.11,27.42,268001.35,1318782.96,34.94,2030-12-04,20.85
PRJ-0078,May,2026-05-15,36.15,44.27,432693.9,1268816.26,29.83,2030-07-04,16.06
PRJ-0078,June,2026-06-15,45.18,41.98,410297.58,1502799.57,53.77,2031-03-04,24.3
PRJ-0078,July,2026-07-15,54.22,59.61,582538.52,984944.76,0.78,2029-12-04,9.37
PRJ-0079,Feb,2026-02-15,14.36,19.94,398887.72,2079057.23,3.95,2037-04-17,13.6
PRJ-0079,March,2026-03-15,28.72,23.16,463238.92,2186144.36,9.31,2037-05-17,14.73
PRJ-0079,April,2026-04-15,43.08,46.3,926089.19,2093463.08,4.67,2036-07-17,5.17
PRJ-0079,May,2026-05-15,57.44,60.59,1211722.91,2114072.16,5.7,2036-09-17,7.03
PRJ-0079,June,2026-06-15,71.8,68.74,1374762.34,2568669.89,28.43,2037-02-17,12.18
PRJ-0079,July,2026-07-15,86.16,78.75,1574984.12,1800669.08,-9.97,2036-02-17,0.0
PRJ-0080,Feb,2026-02-15,3.27,0.0,0.0,399511.41,7.59,2034-02-12,16.37
PRJ-0080,March,2026-03-15,6.54,14.62,54304.25,399392.14,7.56,2033-12-12,13.95
PRJ-0080,April,2026-04-15,9.8,14.71,54629.31,391321.65,5.39,2033-12-12,13.97
PRJ-0080,May,2026-05-15,13.07,17.84,66224.93,394709.3,6.3,2033-09-12,11.33
PRJ-0080,June,2026-06-15,16.34,15.66,58130.33,494402.03,33.15,2034-05-12,19.06
PRJ-0080,July,2026-07-15,19.61,24.95,92660.84,333831.08,-10.09,2033-05-12,6.59
PRJ-0081,Feb,2026-02-15,13.2,7.29,1129.15,16722.52,7.95,2033-10-13,16.05
PRJ-0081,March,2026-03-15,26.4,31.87,4936.29,16327.52,5.4,2033-05-13,10.83
PRJ-0081,April,2026-04-15,39.6,40.62,6292.59,16485.31,6.42,2033-05-13,11.2
PRJ-0081,May,2026-05-15,52.79,55.29,8564.26,15966.34,3.07,2033-01-13,7.44
PRJ-0081,June,2026-06-15,65.99,73.65,11409.4,18650.83,20.4,2033-03-13,9.41
PRJ-0081,July,2026-07-15,79.19,79.25,12276.3,14012.19,-9.54,2032-06-13,0.0
PRJ-0082,Feb,2026-02-15,13.5,6.57,8906.24,170203.26,25.48,2034-07-06,19.57
PRJ-0082,March,2026-03-15,27.01,29.11,39491.15,169779.57,25.16,2034-06-06,18.7
PRJ-0082,April,2026-04-15,40.51,35.07,47565.46,161290.62,18.91,2034-05-06,17.7
PRJ-0082,May,2026-05-15,54.01,56.46,76581.08,159538.39,17.61,2033-09-06,10.31
PRJ-0082,June,2026-06-15,67.52,64.98,88147.54,206083.61,51.93,2034-10-06,23.2
PRJ-0082,July,2026-07-15,81.02,79.23,107467.82,129800.51,-4.31,2032-11-06,0.0
PRJ-0083,Feb,2026-02-15,38.84,38.5,639823.05,2417004.33,45.43,2029-10-24,19.36
PRJ-0083,March,2026-03-15,77.68,82.81,1376309.52,2282229.16,37.32,2029-05-24,14.16
PRJ-0083,April,2026-04-15,100.0,99.34,1651004.7,2213859.93,33.2,2028-12-24,9.5
PRJ-0083,May,2026-05-15,100.0,99.8,1658661.71,2116807.17,27.36,2028-11-24,7.79
PRJ-0083,June,2026-06-15,100.0,96.88,1610083.14,3189730.86,91.92,2030-12-24,33.22
PRJ-0083,July,2026-07-15,100.0,99.29,1650145.67,1317829.05,-20.71,2028-03-24,0.0
PRJ-0084,Feb,2026-02-15,18.22,15.1,172510.43,1230045.42,7.65,2031-01-22,10.77
PRJ-0084,March,2026-03-15,36.45,38.23,436822.78,1219626.97,6.74,2031-01-22,10.89
PRJ-0084,April,2026-04-15,54.67,54.86,626841.03,1189009.2,4.06,2030-10-22,8.25
PRJ-0084,May,2026-05-15,72.9,76.54,874621.11,1170125.56,2.4,2030-06-22,3.89
PRJ-0084,June,2026-06-15,91.12,92.04,1051657.5,1487106.19,30.14,2031-03-22,12.88
PRJ-0084,July,2026-07-15,100.0,100.0,1142655.01,964185.06,-15.62,2030-02-22,0.0
PRJ-0085,Feb,2026-02-15,16.05,22.22,74891.54,461873.04,37.06,2035-05-21,21.7
PRJ-0085,March,2026-03-15,32.09,25.74,86750.14,461139.36,36.85,2035-03-21,19.53
PRJ-0085,April,2026-04-15,48.14,50.67,170737.94,454005.22,34.73,2035-07-21,23.98
PRJ-0085,May,2026-05-15,64.19,57.52,193829.64,460261.35,36.59,2035-02-21,18.9
PRJ-0085,June,2026-06-15,80.23,85.43,287883.63,497147.07,47.53,2035-01-21,18.44
PRJ-0085,July,2026-07-15,96.28,95.57,322045.05,435250.95,29.16,2034-07-21,12.17
PRJ-0086,Feb,2026-02-15,15.01,16.6,140427.2,977517.11,15.56,2037-01-01,12.07
PRJ-0086,March,2026-03-15,30.02,33.06,279681.0,959379.37,13.41,2037-03-01,13.7
PRJ-0086,April,2026-04-15,45.04,44.78,378777.55,944098.6,11.61,2037-02-01,13.0
PRJ-0086,May,2026-05-15,60.05,61.83,523067.41,921397.61,8.92,2036-11-01,9.77
PRJ-0086,June,2026-06-15,75.06,73.3,620094.03,1306825.33,54.48,2037-08-01,19.37
PRJ-0086,July,2026-07-15,90.07,92.26,780435.03,673742.82,-20.35,2036-01-01,0.0
PRJ-0087,Feb,2026-02-15,5.89,0.0,0.0,808448.79,20.8,2035-12-22,16.68
PRJ-0087,March,2026-03-15,11.78,19.08,127675.86,807887.22,20.72,2035-10-22,15.41
PRJ-0087,April,2026-04-15,17.67,17.84,119377.99,780465.93,16.62,2036-02-22,19.26
PRJ-0087,May,2026-05-15,23.56,21.65,144883.37,769012.74,14.91,2035-12-22,17.49
PRJ-0087,June,2026-06-15,29.45,32.33,216394.69,838302.39,25.26,2035-09-22,14.35
PRJ-0087,July,2026-07-15,35.33,28.7,192047.36,707695.98,5.75,2035-03-22,7.66
PRJ-0088,Feb,2026-02-15,3.1,7.03,77289.37,1513457.46,37.76,2036-12-11,19.59
PRJ-0088,March,2026-03-15,6.21,6.84,75179.77,1467621.85,33.58,2037-03-11,22.81
PRJ-0088,April,2026-04-15,9.31,10.38,114039.51,1454308.89,32.37,2037-02-11,21.6
PRJ-0088,May,2026-05-15,12.41,11.43,125587.39,1411675.01,28.49,2037-03-11,22.78
PRJ-0088,June,2026-06-15,15.52,15.27,167710.17,1587237.41,44.47,2037-06-11,26.07
PRJ-0088,July,2026-07-15,18.62,17.42,191366.96,1135708.55,3.37,2036-05-11,12.86
PRJ-0089,Feb,2026-02-15,9.72,10.65,53129.08,604646.51,21.19,2037-06-10,18.72
PRJ-0089,March,2026-03-15,19.45,15.58,77730.07,581029.43,16.46,2037-07-10,19.71
PRJ-0089,April,2026-04-15,29.17,26.08,130094.98,578587.18,15.97,2037-04-10,16.95
PRJ-0089,May,2026-05-15,38.9,41.21,205613.66,567814.9,13.81,2036-11-10,11.89
PRJ-0089,June,2026-06-15,48.62,47.95,239210.24,681289.89,36.55,2037-03-10,16.19
PRJ-0089,July,2026-07-15,58.35,59.53,297021.32,474851.66,-4.82,2036-06-10,7.01
PRJ-0090,Feb,2026-02-15,27.3,29.67,141582.6,656078.45,37.47,2033-07-12,20.35
PRJ-0090,March,2026-03-15,54.6,53.21,253946.14,631242.25,32.27,2033-04-12,16.92
PRJ-0090,April,2026-04-15,81.9,77.31,368957.22,579639.73,21.45,2032-09-12,9.7
PRJ-0090,May,2026-05-15,100.0,100.0,477254.08,566039.05,18.6,2032-03-12,4.08
PRJ-0090,June,2026-06-15,100.0,95.26,454655.93,761588.05,59.58,2033-11-12,24.14
PRJ-0090,July,2026-07-15,100.0,95.63,456397.04,385271.25,-19.27,2031-11-12,0.0
PRJ-0091,Feb,2026-02-15,3.9,0.0,0.0,41801.91,33.68,2034-01-27,20.76
PRJ-0091,March,2026-03-15,7.81,3.31,1036.04,41776.63,33.59,2034-03-27,23.46
PRJ-0091,April,2026-04-15,11.71,12.89,4032.17,40488.2,29.47,2033-12-27,19.93
PRJ-0091,May,2026-05-15,15.61,16.91,5286.85,40975.99,31.03,2034-03-27,23.46
PRJ-0091,June,2026-06-15,19.51,19.74,6172.63,47464.0,51.78,2034-06-27,25.82
PRJ-0091,July,2026-07-15,23.42,22.37,6995.04,34685.07,10.92,2033-04-27,11.56
PRJ-0092,Feb,2026-02-15,11.61,6.14,651.9,10882.97,2.45,2033-12-25,15.05
